Date Executed,Period Date For Workload,Period Type,Client,DB,System ID,OS,SAP Release,Hostname,,,,,,,,,,,
20230424,20230301,M,804,HDB,S4H,Linux,754,vhcals4hci,,,,,,,,,,,
,,,,,40,10,10,10,30,,,,,,,,,,
Transaction,Users,Dialogs,Execution Time,Development Objects,User Rating - Scale = 100,Dialog Rating - Scale = 100,Time Rating - Scale = 100,Object Rating - Scale = 100,Intensity Rating - Scale 100,Final Rating - Scale = 100,Type Of Activity,Activity,Module,Department,Role,Business Area,,,
ME22N,6,16240,3099997,194,0.255,0.251,0.141,0.004,2.90355,3.55455,T,Change Purchase Order,MM,Purchasing,Application Components->Materials Management->Purchasing->ME22N(Change Purchase Order),SAP->MM->MM-PUR->ME22N(Change Purchase O,,,
SMEN,13,2932,18678,37909679,0.551,1.212,0.002,0.364,0.7908,2.9198,W,Session Manager Menu Tree Display,BC,Basis Components,Application Components->Basis Components->Security->User Administration->SMEN(Session Manager Menu Tree Display),BC-SEC-USR,,,
DWDM,5,23400,3064742,49,0.212,0.362,0.14,0.001,2.16465,2.87965,T,Development Workbench Demos,BC,SAP Internet Transaction Server,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP Internet Transaction Server->DWDM(Development Workbench Demos),SAP->BC->BC-FES->BC-FES-ITS->DWDM(Develo,,,
SE16N,12,115132,8455672,4,0.509,1.781,0.385,0,0,2.675,T,General Table Display,CO,Controlling,Application Components->Controlling->SE16N(General Table Display),SAP->CO->SE16N(General Table Display),,,
VA01,12,4730,610508,12932,0.509,0.073,0.028,0.288,1.1028,2.0008,T,Create Sales Orders,SD,Sales,Application Components->Sales and Distribution->Sales->VA01(Create Sales Orders),SAP->SD->SD-SLS->VA01(Create Sales Order,,,
BIBS,6,32632,12333637,102,0.255,0.505,0.562,0.002,0,1.324,T,Examples of User Interface Design,BC,SAP Internet Transaction Server,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP Internet Transaction Server->BIBS(Examples of User Interface Design),SAP->BC->BC-FES->BC-FES-ITS->BIBS(Exampl,,,
Z_UIPATH_CUST_HEATMAP_DOWNLOAD,3,850,23662240,184,0.127,0.013,1.078,0.004,0,1.222,R,UiPath Heatmap Download,CA,Cross-Application Components,Application Components->Cross-Application Components->Z_UIPATH_CUST_HEATMAP_DOWNLOAD(UiPath Heatmap Download),SAP->CA->Z_UIPATH_CUST_HEATMAP_DOWNLOAD(,,,
FSE3,4,20251,373811,36,0.17,0.313,0.017,0.001,0.64995,1.15095,T,Display Financial Statement Version,FI,General Ledger Accounting,Application Components->Financial Accounting->General Ledger Accounting->FSE3(Display Financial Statement Version),SAP->FI->FI-GL->FSE3(Display Financial S,,,
VA01,5,906,564,25523113,0.212,0.375,0,0.245,0.2136,1.0456,W,Create Sales Orders,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->VA01(Create Sales Orders),SD-SLS,,,
fin.gl.documentdisplay,1,1009,3528,11498184,0.042,0.417,0,0.11,0.3795,0.9485,F,Display and Reverse G/L Document,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.gl.documentdisplay(Display and Reverse G/L Document),FI-FIO-GL,,,
cus.sd.salesorders.manage,2,217,6724,7745497,0.085,0.09,0.001,0.074,0.68625,0.93625,F,cus.sd.salesorders.manage,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->cus.sd.salesorders.manage(cus.sd.salesorders.manage),SD-SLS,,,
FB60,2,829,526,34347188,0.085,0.343,0,0.33,0.174,0.932,W,Enter Incoming Invoices,FI,Financial Accounting,Application Components->Financial Accounting->FB60(Enter Incoming Invoices),FI,,,
VA02,4,1559,162932,12932,0.17,0.024,0.007,0.288,0.3915,0.8805,T,Change Sales Orders,SD,Sales,Application Components->Sales and Distribution->Sales->VA02(Change Sales Orders),SAP->SD->SD-SLS->VA02(Change Sales Order,,,
SESS,20,121,135,127,0.848,0.002,0,0.003,0,0.853,T,Session Manager Menu Tree Display,BC,Session Manager,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Session Manager->SESS(Session Manager Menu Tree Display),SAP->BC->BC-DWB->BC-DWB-SEM->SESS(Sessio,,,
RSWAITSEC,1,4130,15800209,184,0.042,0.064,0.72,0.004,0,0.83,R,RSWAITSEC,BC,Client/Server Technology,Application Components->Basis Components->Client/Server Technology->RSWAITSEC(RSWAITSEC),SAP->BC->BC-CST->RSWAITSEC(RSWAITSEC),,,
TPDA_START,3,6029,13071258,136,0.127,0.093,0.596,0.003,0.00495,0.82395,T,Start Master of TPDA Debugger,BC,ABAP Syntax  Compiler  Runtime,Application Components->Basis Components->ABAP Runtime Environment - ABAP Language Issues Only->ABAP Syntax  Compiler  Runtime->TPDA_START(Start Master of TPDA Debugger),SAP->BC->BC-ABA->BC-ABA-LA->TPDA_START(S,,,
SE37,8,3020,4571558,22,0.339,0.047,0.208,0,0.22965,0.82365,T,ABAP Function Modules,BC,Function Builder,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->Function Builder->SE37(ABAP Function Modules),SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
BIBS,7,646,3631,9964581,0.297,0.267,0,0.096,0.1356,0.7956,W,Examples of User Interface Design,BC,Basis Components,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP Internet Transaction Server->BIBS(Examples of User Interface Design),BC-FES-ITS,,,
fin.central.user.defaultparameter,6,7,4294974,255215,0.255,0.003,0.499,0.002,0.01695,0.77595,F,Fiori App - FIN User Default Parameter P,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.central.user.defaultparameter(Fiori App - FIN User Default Parameter P),FI-FIO-GL,,,
ME21N,12,1515,764263,194,0.509,0.023,0.035,0.004,0.20085,0.77185,T,Create Purchase Order,MM,Purchasing,Application Components->Materials Management->Purchasing->ME21N(Create Purchase Order),SAP->MM->MM-PUR->ME21N(Create Purchase O,,,
VA05,2,5104,702168,51,0.085,0.079,0.032,0.001,0.5682,0.7652,T,List of Sales Orders,SD,Basic Functions,Application Components->Sales and Distribution->Sales->Basic Functions->VA05(List of Sales Orders),SAP->SD->SD-SLS->SD-SLS-GF->VA05(List of,,,
SE38,9,12580,2529618,23,0.382,0.195,0.115,0.001,0.0693,0.7623,T,ABAP Editor,BC,ABAP Editor,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->ABAP Editor->SE38(ABAP Editor),SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
s2p.mm.im.goodsreceipt.purchaseorder,2,219,1957,8510445,0.085,0.091,0,0.082,0.49845,0.75645,F,Goods receipt for purchase order,MM,Materials Management,Application Components->Materials Management->Materials Management->Materials Management->Materials Management->s2p.mm.im.goodsreceipt.purchaseorder(Goods receipt for purchase order),MM-FIO-IM-SGM,,,
FBL3N,4,7953,1442331,69,0.17,0.123,0.066,0.002,0.33525,0.69625,T,G/L Account Line Items,FI,Information System,Application Components->Financial Accounting->General Ledger Accounting->Information System->FBL3N(G/L Account Line Items),SAP->FI->FI-GL->FI-GL-IS->FBL3N(G/L Acco,,,
